Citizenship status at graduation,Basic research,Applied research,Development,Design,Teaching,Management and administration,Computer applications,Other
Temporary visa holder,15.75,27.31,14.82,4.87,10.49,8.65,11.52,6.59
U.S. citizen and permanent resident,11.0,23.0,6.4,2.2,20.8,17.0,4.3,15.3
